nome,titulo,imgUrl,descricao,quantidade,preco
La Spooky Grande,La Spooky Grande - 36.7M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\lsp36.png,IGNORAR,1,4
La Extinct Grande,La Extinct Grande - 23.5M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\ext23.png,IGNORAR,1,4
Los Nooo My Hotspotsitos,Los Nooo My Hotspotsitos - 57.7M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\hot57.png,IGNORAR,1,3
Los Mobilis,Los Mobilis - 27.5M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\mob.png,IGNORAR,1,2
Los Mobilis,Los Mobilis - 165M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\mob165.png,IGNORAR,4,3
Los Mobilis,Los Mobilis - 88M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\mob88.png,IGNORAR,1,3
Los Mobilis,Los Mobilis - 99M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\mob99.png,IGNORAR,1,3
Los Mobilis,Los Mobilis - 231M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\mob231.png,IGNORAR,1,4
Los Mobilis,Los Mobilis - 220M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\mob220.png,IGNORAR,1,3
Los Mobilis,Los Mobilis - 209M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\mob209.png,IGNORAR,1,3
Los 67,Los 67 - 157M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\los157.png,IGNORAR,1,4
Los 67,Los 67 - 382M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\los382.png,IGNORAR,1,7
Garama and Madundung,Garama and Madundung - 50M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\gar.png,IGNORAR,1,27
Garama and Madundung,Garama and Madundung - 450M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\gar450.png,IGNORAR,1,50
Garama and Madundung,Garama and Madundung - 650M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\gar650.png,IGNORAR,1,85
Tacorita Bicicleta,Tacorita Bicicleta - 103M/s,D:\Andre\workspaces\freelancer\python\bot_eldorado\data\img\tac103.png,IGNORAR,1,6
